"CNTSTUID","CNTSCHID","math_score","read_score","science_score"
61600017,61600130,5,47,0
61600020,61600055,7,38,0
61600021,61600186,18,48,0
61600024,61600010,16,43,0
61600028,61600222,19,43,0
61600030,61600243,5,43,14
61600039,61600029,1,25,0
61600043,61600110,4,26,0
61600044,61600142,9,24,0
61600051,61600092,17,50,0
61600055,61600014,15,55,0
61600059,61600166,8,39,0
61600075,61600114,11,39,0
61600077,61600057,14,51,0
61600078,61600131,17,54,0
61600080,61600180,14,46,0
61600084,61600097,8,34,0
61600087,61600121,13,31,0
61600090,61600109,17,48,0
61600093,61600252,18,50,0
61600098,61600223,10,46,0
61600101,61600086,5,36,0
61600102,61600204,12,9,0
61600105,61600101,8,49,11
61600106,61600193,12,38,0
61600114,61600008,12,41,0
61600115,61600223,18,55,0
61600118,61600228,23,54,0
61600119,61600253,21,59,0
61600120,61600179,10,58,16
61600125,61600044,12,50,0
61600130,61600120,17,45,0
61600133,61600135,20,59,0
61600137,61600140,14,39,0
61600145,61600036,12,61,18
61600146,61600103,12,45,0
61600147,61600159,6,45,0
61600149,61600105,22,49,0
61600150,61600036,14,50,0
61600152,61600200,11,41,0
61600153,61600109,18,53,0
61600154,61600144,16,57,0
61600155,61600148,12,42,0
61600159,61600011,16,34,0
61600166,61600097,8,48,0
61600170,61600195,5,40,0
61600175,61600218,12,37,0
61600177,61600243,6,42,0
61600178,61600128,8,47,0
61600185,61600179,13,55,0
61600187,61600063,6,32,0
61600189,61600085,8,38,0
61600191,61600027,14,35,0
61600192,61600086,10,31,0
61600195,61600064,3,48,10
61600197,61600152,19,48,0
61600199,61600086,9,39,0
61600200,61600202,14,43,0
61600202,61600194,19,54,0
61600205,61600199,7,17,0
61600207,61600133,22,49,0
61600209,61600175,12,42,0
61600211,61600216,4,29,0
61600212,61600110,5,44,12
61600214,61600028,10,34,0
61600215,61600169,8,49,0
61600217,61600105,9,33,0
61600218,61600242,3,26,10
61600221,61600152,7,53,13
61600223,61600175,13,47,0
61600224,61600212,20,45,0
61600229,61600106,2,37,5
61600231,61600122,8,40,0
61600235,61600227,4,38,0
61600236,61600125,20,54,0
61600247,61600151,20,57,0
61600249,61600232,5,36,0
61600250,61600190,21,45,0
61600253,61600191,7,35,0
61600258,61600184,12,53,0
61600260,61600029,6,37,0
61600263,61600145,4,30,0
61600265,61600220,14,47,0
61600268,61600172,14,46,0
61600269,61600009,8,32,0
61600276,61600006,7,47,0
61600277,61600004,19,61,0
61600279,61600100,3,17,6
61600282,61600117,7,43,0
61600283,61600128,9,33,0
61600288,61600049,11,49,0
61600290,61600043,12,35,0
61600292,61600199,13,49,0
61600293,61600054,2,43,8
61600294,61600125,16,52,0
61600303,61600236,17,52,0
61600305,61600234,5,37,0
61600306,61600017,7,40,0
61600308,61600125,20,46,0
61600310,61600035,4,36,0
61600311,61600159,5,45,16
61600316,61600110,16,47,0
61600320,61600162,8,38,0
61600322,61600187,17,52,0
61600324,61600055,16,44,0
61600326,61600140,19,37,0
61600331,61600222,16,48,0
61600334,61600156,5,14,0
61600336,61600245,9,48,0
61600337,61600009,15,50,0
61600339,61600128,14,44,0
61600344,61600004,13,42,0
