CNTSCHID,STRATUM,SC001Q01TA,SC013Q01TA,SC016Q01TA,SC016Q02TA,SC016Q03TA,SC016Q04TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA,SC161Q01SA,SC161Q02SA,SC161Q03SA,SC161Q04SA,SC161Q05SA,SC162Q01SA,SC155Q01HA,SC155Q02HA,SC155Q03HA,SC155Q04HA,SC155Q05HA,SC155Q06HA,SC155Q07HA,SC155Q08HA,SC155Q09HA,SC155Q10HA,SC155Q11HA,SC156Q01HA,SC156Q02HA,SC156Q03HA,SC156Q04HA,SC156Q05HA,SC156Q06HA,SC156Q07HA,SC156Q08HA,SC011Q01TA,SC012Q01TA,SC012Q02TA,SC012Q03TA,SC012Q04TA,SC012Q05TA,SC012Q06TA,SC012Q07TA,SC042Q01TA,SC042Q02TA,SC154Q01HA,SC154Q03WA,SC154Q04WA,SC154Q05WA,SC154Q06WA,SC154Q07WA,SC154Q08WA,SC154Q09HA,SC154Q10WA,SC154Q11HA,SC036Q01TA,SC036Q02TA,SC036Q03NA,SC037Q01TA,SC037Q02TA,SC037Q03TA,SC037Q04TA,SC037Q05NA,SC037Q06NA,SC037Q07TA,SC037Q08TA,SC037Q09TA,SC037Q10NA,SC165Q01HA,SC165Q02HA,SC165Q03HA,SC165Q04HA,SC165Q05HA,SC165Q06HA,SC165Q07HA,SC165Q08HA,SC165Q09HA,SC165Q10HA,SC166Q02HA,SC166Q03HA,SC166Q05HA,SC166Q06HA,SC167Q01HA,SC167Q02HA,SC167Q03HA,SC167Q04HA,SC167Q06HA,SC158Q01HA,SC158Q02HA,SC158Q04HA,SC158Q07HA,SC158Q08HA,SC158Q09HA,SC158Q12HA,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q11HA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC002Q01TA,SC002Q02TA,SC048Q01NA,SC048Q02NA,SC048Q03NA,SC004Q01TA,SC004Q02TA,SC004Q03TA,SC004Q04NA,SC004Q05NA,SC004Q06NA,SC004Q07NA,SC018Q01TA01,SC018Q01TA02,SC018Q02TA01,SC018Q02TA02,SC018Q05NA01,SC018Q05NA02,SC018Q06NA01,SC018Q06NA02,SC018Q07NA01,SC018Q07NA02,SC025Q01NA,SC159Q01HA,SC003Q01TA,SC053Q01TA,SC053Q02TA,SC053Q03TA,SC053Q04TA,SC053Q12IA,SC053Q13IA,SC053Q09TA,SC053Q10TA,SC053Q14IA,SC053Q15IA,SC053Q16IA,SC053D11TA,SC150Q01IA,SC150Q02IA,SC150Q03IA,SC150Q04IA,SC150Q05IA,SC164Q01HA,SC064Q01TA,SC064Q02TA,SC064Q03TA,SC064Q04NA,SC152Q01HA,SC160Q01WA,SC052Q01NA,SC052Q02NA,SC052Q03HA,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM,SENWT
61600001,POL0001,5,1,100,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,2,1,3,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,2,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,1,2,1,2,2,453,182,5,11,10,72,35,35,0,11,11,46,62,13,62,13,1,0,60,13,1,0,99,1,2,2,2,1,1,1,2,1,1,1,1,1,616002,1,2,2,2,2,0,80,80,80,70,1,3,1,1,1,public,3,9.2701,635,0.4861,1,68.5,1,0.0146,0.9708,0.0146,18,1,-1.4212,-1.4551,0.8153,-0.5614,0.9042,31.20032,1183.6679,17.09088
61600002,POL0001,1,1,100,0,0,0,1,1,4,1,4,4,2,2,0,0,1,0,0,1,2,1,2,2,3,2,3,2,2,3,2,2,2,2,2,1,2,2,2,3,2,3,1,1,1,3,1,3,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,1,2,1,1,25,30,1,14,10,55,24,24,0,3,3,9,1,19,1,19,0,0,1,19,0,0,10,2,4,1,1,2,1,2,2,1,1,2,2,2,616002,1,2,2,2,2,0,10,11,11,70,2,,1,1,2,public,3,5.2381,55,0.4364,1,10.5,1,0,1,0,28,3,1.7737,0.122,-1.0762,-0.7733,0.9042,35.26993,921.87784,19.32012
61600003,POL0001,4,2,80,20,0,0,2,1,1,1,3,3,1,1,0,0,0,1,0,1,3,3,3,3,3,3,3,2,2,3,3,2,2,2,1,1,1,2,1,1,1,1,1,3,1,1,3,3,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,2,3,1,1,1,1,1,1,2,1,2,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,3,1,1,1,1,1,153,41,2,5,10,98,30,30,30,11,11,35,18,20,18,20,0,0,18,20,0,0,100,2,2,2,1,1,2,2,2,2,1,2,2,2,616002,1,2,2,2,1,1,50,20,0,0,1,3,1,1,1,private,2,6.9286,194,0.3061,1,28,1,0,1,0,18,1,0.4997,-0.7828,-0.2686,-2.0409,0.9042,19.31448,1808.52197,10.58007
61600004,POL0001,2,1,100,0,0,0,1,1,1,1,1,2,1,1,0,1,0,0,1,1,3,4,3,3,3,3,3,3,2,4,3,2,2,2,1,1,1,2,1,1,3,1,1,3,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,173,211,0,6,2,28,30,30,0,4,17,40,29,14,29,14,0,0,29,14,0,0,87,2,4,2,2,1,1,2,2,1,1,1,1,1,616002,2,2,2,2,2,1,100,12,19,0,1,3,1,1,1,public,3,10.6667,384,1.0714,1,36,1,0,1,0,28,1,-0.6483,-1.4551,-1.6198,-2.0409,0.9042,35.26993,817.89747,19.32012
61600005,POL0001,3,1,100,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,3,3,3,3,3,3,3,4,3,3,3,1,2,2,1,1,1,1,2,1,3,1,1,1,1,1,3,3,2,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,3,3,2,2,2,2,3,3,1,1,1,1,1,2,1,2,1,1,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,125,155,0,1,10,136,46,46,30,0,15,32,97,20,97,20,0,0,94,20,3,0,100,1,4,1,2,1,1,1,1,1,1,1,1,2,616002,2,2,2,2,2,1,14,21,10,15,1,4,1,1,1,public,3,2.6168,280,0.3382,1,107,1,0,0.972,0.028,28,2,-1.4212,-1.4551,-1.3196,-0.7733,0.3009,11.67206,1475.13563,6.39371
61600006,POL0001,2,1,99,1,0,0,1,1,1,1,1,1,1,2,0,0,0,1,0,2,3,3,3,3,3,3,4,2,2,3,2,2,1,2,1,1,1,1,1,3,1,1,1,1,1,3,2,3,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,2,2,2,3,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,79,61,0,4,5,63,16,16,6,3,8,14,22,0,22,0,0,0,22,0,0,0,97,1,2,2,1,2,1,2,2,1,1,1,1,1,616002,2,2,2,2,2,0,30,20,5,2,1,3,1,1,1,public,3,6.3636,140,0.254,1,22,1,0,1,0,18,2,-0.9432,-1.4551,-0.335,-0.8166,-2.1866,24.58207,1727.45904,13.46554
61600007,POL0001,2,2,80,20,0,0,1,1,1,1,2,1,2,4,0,1,0,0,1,1,2,2,2,2,2,3,2,2,2,3,3,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,3,2,1,1,1,1,1,2,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,17,32,0,8,10,22,25,25,8,2,4,10,0,15,0,15,0,0,0,15,0,0,12,2,3,1,1,1,1,1,2,1,1,1,1,1,616002,2,2,2,2,2,0,40,60,20,7,1,3,1,1,1,private,2,6.5333,49,1.1364,1,7.5,1,0,1,0,23,3,0.0717,-1.4551,-0.335,-0.8267,0.9042,70.53986,1579.46417,38.64025
61600008,POL0001,4,1,100,0,0,0,1,1,1,1,3,2,2,2,0,0,1,0,0,2,3,2,2,2,2,3,3,2,2,3,2,1,2,2,1,1,2,1,2,1,3,1,1,1,1,3,1,3,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,3,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,2,1,1,2,1,279,344,1,5,5,266,30,30,5,7,25,30,59,0,59,0,1,0,58,0,2,0,50,1,4,2,1,1,1,1,1,1,1,2,1,1,616002,1,2,2,2,2,0,11,88,17,0,1,3,2,2,1,public,3,10.5593,623,0.1128,1,59,1,0.0169,0.9831,0.0339,28,2,0.4698,-1.4551,-0.3856,-0.9138,0.9042,33.80035,1531.4574,18.51512
61600009,POL0001,1,1,100,0,0,0,1,1,3,1,1,1,1,4,0,0,0,1,0,2,3,2,2,2,3,3,3,3,3,4,2,1,1,2,1,1,1,2,2,3,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,2,2,2,3,2,3,2,1,1,1,1,1,2,2,2,2,2,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2,1,2,117,114,0,11,50,44,12,12,12,5,10,8,28,2,28,2,0,0,28,2,0,0,41,2,3,1,1,1,1,2,2,1,1,2,2,2,616002,2,2,2,2,2,0,97,23,11,2,1,3,2,1,1,public,3,7.9655,231,0.2727,1,29,1,0,1,0,23,3,-0.4839,-0.1776,-0.9664,-0.7767,0.9042,35.26993,1483.53631,19.32012
61600010,POL0001,4,1,100,0,0,0,1,1,1,1,1,1,1,3,0,0,1,0,1,2,4,3,3,3,3,4,4,3,2,4,2,1,1,2,2,1,1,2,2,3,2,1,1,2,1,3,2,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1,1,2,1,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,2,3,2,3,1,2,2,149,231,0,6,8,157,20,20,1,4,18,25,42,25,42,25,0,0,42,24,0,1,1,2,4,1,2,2,1,2,2,2,1,2,1,1,616002,1,2,2,2,2,0,70,80,1,0,2,,1,1,2,public,3,6.9725,380,0.1274,1,54.5,1,0,0.9908,0.0092,28,1,-0.6844,-1.4551,0.6058,0.1744,-1.0542,10.26846,1570.67746,5.62485
