"CNTSTUID","CNTSCHID","math_score","read_score"
61600014,61600244,11,17
61600020,61600084,24,28
61600033,61600160,24,32
61600059,61600228,19,21
61600083,61600154,21,27
61600087,61600105,12,28
61600093,61600100,16,28
61600095,61600003,19,19
61600121,61600103,10,14
61600127,61600104,12,30
61600130,61600229,15,21
61600132,61600164,16,30
61600133,61600024,17,26
61600135,61600214,18,23
61600150,61600111,12,26
61600153,61600149,17,34
61600161,61600207,24,32
61600172,61600025,28,37
61600174,61600167,12,8
61600177,61600215,15,25
61600179,61600127,15,25
61600181,61600154,12,28
61600183,61600162,26,38
61600189,61600156,24,25
61600195,61600044,21,32
61600196,61600233,19,27
61600204,61600082,7,21
61600206,61600062,6,17
61600214,61600250,28,28
61600216,61600155,8,13
61600217,61600191,20,32
61600226,61600171,26,34
61600231,61600023,17,34
61600235,61600171,18,22
61600238,61600209,13,8
61600242,61600201,19,18
61600244,61600167,6,19
61600254,61600174,13,27
61600257,61600004,11,17
61600277,61600025,25,35
61600283,61600247,8,6
61600285,61600231,14,24
61600289,61600019,21,19
61600300,61600036,17,20
61600303,61600132,19,34
61600304,61600027,20,19
61600309,61600054,22,33
61600315,61600153,14,15
61600316,61600111,22,26
61600319,61600132,16,30
61600322,61600036,1,27
61600324,61600103,18,30
61600328,61600073,17,25
61600330,61600161,15,18
61600341,61600170,16,22
61600342,61600187,14,16
61600343,61600211,10,15
61600351,61600178,26,36
61600352,61600239,21,24
61600359,61600156,14,24
61600363,61600097,19,30
61600366,61600159,24,29
61600370,61600141,6,5
61600372,61600173,13,22
61600374,61600135,28,37
61600375,61600060,7,15
61600393,61600103,11,13
61600398,61600086,27,31
61600401,61600206,24,31
61600410,61600068,25,38
61600417,61600212,24,22
61600418,61600229,17,23
61600423,61600228,14,33
61600428,61600122,17,27
61600429,61600179,17,28
61600440,61600149,23,27
61600450,61600143,21,26
61600453,61600147,2,11
61600461,61600088,32,33
61600472,61600141,14,27
61600474,61600168,25,30
61600480,61600010,17,23
61600482,61600005,24,28
61600490,61600146,10,18
61600494,61600085,4,12
61600498,61600003,19,17
61600499,61600209,21,26
61600504,61600089,14,23
61600507,61600044,18,28
61600510,61600244,26,38
61600511,61600014,10,21
61600517,61600006,20,25
61600526,61600205,16,10
61600530,61600187,21,33
61600531,61600023,17,27
61600532,61600243,9,9
61600534,61600149,22,22
61600537,61600081,16,25
61600545,61600241,19,33
61600549,61600184,18,35
61600554,61600143,14,4
61600558,61600155,8,12
61600563,61600108,18,25
61600564,61600013,12,20
61600565,61600103,28,32
61600568,61600197,8,23
61600569,61600198,18,24
61600570,61600034,12,26
61600576,61600209,6,9
61600578,61600036,16,23
61600580,61600070,12,15
61600582,61600002,22,30
61600592,61600159,15,21
61600594,61600073,21,35
61600596,61600188,4,18
61600597,61600016,25,20
61600601,61600208,13,23
61600604,61600137,19,22
61600616,61600027,17,30
61600633,61600145,10,30
61600634,61600132,20,33
61600639,61600023,20,38
61600648,61600214,13,20
61600650,61600178,26,29
61600653,61600196,27,34
61600656,61600239,11,21
61600659,61600114,12,16
61600662,61600156,13,29
61600666,61600152,11,27
61600671,61600133,2,11
61600674,61600073,19,32
61600680,61600228,8,20
61600685,61600177,28,24
61600690,61600151,17,16
61600694,61600097,15,25
61600695,61600141,16,24
61600699,61600115,4,10
61600715,61600008,14,28
61600717,61600060,21,32
61600719,61600173,22,24
61600721,61600200,16,30
61600727,61600158,12,19
61600730,61600157,12,10
61600732,61600247,7,11
61600740,61600155,16,28
61600741,61600053,21,35
61600745,61600236,12,30
61600749,61600199,12,28
61600750,61600155,17,18
61600753,61600055,23,38
61600771,61600121,9,21
61600773,61600206,14,18
61600774,61600063,15,5
61600791,61600222,18,29
61600793,61600227,19,21
61600795,61600098,18,27
61600802,61600235,16,31
61600807,61600153,23,29
61600808,61600129,10,22
61600817,61600155,13,8
61600825,61600120,30,25
61600831,61600016,17,33
61600838,61600063,5,22
61600839,61600121,16,26
61600843,61600074,11,26
61600847,61600055,29,35
61600856,61600129,17,27
61600861,61600158,16,38
61600862,61600195,11,10
61600865,61600233,23,28
61600871,61600022,14,11
61600878,61600137,12,22
61600882,61600169,21,25
61600887,61600032,25,32
61600893,61600153,13,15
61600902,61600102,15,18
61600904,61600078,36,34
61600905,61600135,25,22
61600911,61600161,6,3
61600912,61600175,27,31
61600914,61600040,10,4
61600915,61600213,22,32
61600916,61600176,7,15
61600921,61600114,11,20
61600923,61600056,17,32
61600931,61600193,19,27
61600933,61600093,14,27
61600940,61600115,13,15
61600945,61600239,16,28
61600947,61600244,22,31
61600948,61600045,21,32
61600951,61600021,16,25
61600954,61600150,17,26
61600955,61600058,20,26
61600967,61600034,18,21
61600971,61600208,16,28
61600994,61600208,19,24
61600997,61600168,8,16
61601000,61600223,30,36
61601004,61600090,22,32
61601011,61600172,12,14
61601013,61600174,28,30
61601016,61600094,8,6
61601023,61600116,21,30
61601031,61600135,22,26
61601032,61600033,27,37
61601036,61600020,9,14
61601037,61600012,6,6
61601043,61600196,26,32
61601044,61600190,25,35
61601047,61600095,29,30
61601053,61600249,17,19
61601063,61600010,19,25
61601067,61600128,19,30
61601074,61600090,26,28
61601077,61600192,13,26
61601084,61600058,20,32
61601087,61600171,17,19
61601090,61600138,22,29
61601092,61600044,17,15
61601096,61600108,25,42
61601099,61600010,15,16
61601101,61600174,14,19
61601102,61600148,12,9
61601107,61600009,19,27
61601119,61600010,13,20
61601122,61600039,12,12
61601123,61600217,14,21
61601128,61600232,20,30
61601129,61600127,13,16
61601133,61600226,20,35
61601134,61600168,17,28
61601136,61600196,22,34
61601138,61600082,19,33
61601141,61600169,25,39
61601142,61600003,26,23
61601146,61600021,13,36
61601149,61600086,34,39
61601166,61600205,23,18
61601168,61600145,15,13
61601170,61600081,16,20
61601175,61600250,22,24
61601179,61600123,13,17
61601180,61600138,26,35
61601182,61600053,31,40
61601187,61600216,14,28
61601192,61600203,9,14
61601197,61600146,2,5
61601199,61600121,17,30
61601201,61600040,17,30
61601206,61600145,12,16
61601208,61600160,26,37
61601210,61600054,19,36
61601212,61600008,14,20
61601223,61600143,12,15
61601224,61600024,20,32
61601225,61600137,9,10
61601233,61600225,20,17
61601241,61600124,11,32
61601248,61600014,13,20
61601251,61600196,18,22
61601253,61600170,22,27
61601256,61600140,23,23
61601258,61600093,18,29
61601263,61600143,16,22
61601267,61600046,25,34
61601278,61600250,18,24
61601282,61600024,18,29
61601283,61600019,17,20
61601285,61600221,16,21
61601290,61600217,13,14
61601300,61600127,18,18
